player_id,player_iid,game_id,game_iid,rprice,side,iddle,total_payoff
1493,1,258,1,63,Seller,0,269
1494,1,258,1,138,Buyer,0,417
1495,2,258,1,68,Seller,0,288
1496,2,258,1,133,Buyer,1,0
1497,3,258,1,73,Seller,0,247
1498,3,258,1,128,Buyer,0,319
1499,4,258,1,78,Seller,1,0
1500,4,258,1,123,Buyer,1,0
1501,5,258,1,83,Seller,1,0
1502,5,258,1,118,Buyer,0,166
1503,6,258,1,88,Seller,0,77
1504,6,258,1,113,Buyer,1,0
1505,7,258,1,93,Seller,0,48
1506,7,258,1,108,Buyer,1,0
1507,8,258,1,98,Seller,0,0
1508,8,258,1,103,Buyer,0,43
1509,9,258,1,103,Seller,0,0
1510,9,258,1,98,Buyer,0,14
1511,10,258,1,108,Seller,0,0
1512,10,258,1,93,Buyer,0,7
1513,11,258,1,108,Seller,1,0
1514,11,258,1,93,Buyer,1,0
1515,12,258,1,108,Seller,1,0
1516,12,258,1,93,Buyer,1,0
1517,13,258,1,108,Seller,1,0
1518,13,258,1,93,Buyer,1,0
1519,1,259,2,63,Seller,0,250
1520,1,259,2,138,Buyer,0,430
1521,2,259,2,68,Seller,0,230
1522,2,259,2,133,Buyer,0,239
1523,3,259,2,73,Seller,1,0
1524,3,259,2,128,Buyer,1,0
1525,4,259,2,78,Seller,0,127
1526,4,259,2,123,Buyer,0,241
1527,5,259,2,83,Seller,0,125
1528,5,259,2,118,Buyer,1,0
1529,6,259,2,88,Seller,0,120
1530,6,259,2,113,Buyer,0,144
1531,7,259,2,93,Seller,1,0
1532,7,259,2,108,Buyer,0,139
1533,8,259,2,98,Seller,0,18
1534,8,259,2,103,Buyer,1,0
1535,9,259,2,103,Seller,0,17
1536,9,259,2,98,Buyer,1,0
1537,10,259,2,108,Seller,1,0
1538,10,259,2,93,Buyer,1,0
1539,11,259,2,108,Seller,1,0
1540,11,259,2,93,Buyer,1,0
1541,12,259,2,108,Seller,1,0
1542,12,259,2,93,Buyer,1,0
1543,13,259,2,108,Seller,1,0
1544,13,259,2,93,Buyer,1,0
1545,1,260,3,63,Seller,1,0
1546,1,260,3,138,Buyer,0,566
1547,2,260,3,68,Seller,0,72
1548,2,260,3,133,Buyer,0,472
1549,3,260,3,73,Seller,0,81
1550,3,260,3,128,Buyer,0,390
1551,4,260,3,78,Seller,1,0
1552,4,260,3,123,Buyer,1,0
1553,5,260,3,83,Seller,0,47
1554,5,260,3,118,Buyer,1,0
1555,6,260,3,88,Seller,0,37
1556,6,260,3,113,Buyer,0,0
1557,1,261,4,63,Seller,0,71
1558,1,261,4,138,Buyer,0,0
1559,2,261,4,68,Seller,0,298
1560,2,261,4,133,Buyer,0,300
1561,3,261,4,73,Seller,0,248
1562,3,261,4,128,Buyer,0,229
1563,4,261,4,78,Seller,1,0
1564,4,261,4,123,Buyer,0,193
1565,5,261,4,83,Seller,0,166
1566,5,261,4,118,Buyer,0,142
1567,6,261,4,88,Seller,1,0
1568,6,261,4,113,Buyer,0,57
1569,7,261,4,93,Seller,0,127
1570,7,261,4,108,Buyer,0,63
1571,8,261,4,98,Seller,1,0
1572,8,261,4,103,Buyer,1,0
1573,9,261,4,103,Seller,0,81
1574,9,261,4,98,Buyer,1,0
1575,10,261,4,108,Seller,0,20
1576,10,261,4,93,Buyer,0,0
1577,11,261,4,108,Seller,1,0
1578,11,261,4,93,Buyer,1,0
1579,12,261,4,108,Seller,1,0
1580,12,261,4,93,Buyer,1,0
1581,13,261,4,108,Seller,1,0
1582,13,261,4,93,Buyer,1,0
1583,1,262,5,63,Seller,0,366
1584,1,262,5,138,Buyer,0,332
1585,2,262,5,68,Seller,0,308
1586,2,262,5,133,Buyer,0,303
1587,3,262,5,73,Seller,0,254
1588,3,262,5,128,Buyer,1,0
1589,4,262,5,78,Seller,1,0
1590,4,262,5,123,Buyer,0,246
1591,5,262,5,83,Seller,0,154
1592,5,262,5,118,Buyer,1,0
1593,6,262,5,88,Seller,1,0
1594,6,262,5,113,Buyer,0,100
1595,7,262,5,93,Seller,0,4
1596,7,262,5,108,Buyer,0,43
1597,8,262,5,98,Seller,0,33
1598,8,262,5,103,Buyer,0,8
1599,9,262,5,103,Seller,0,4
1600,9,262,5,98,Buyer,0,3
1601,10,262,5,108,Seller,0,0
1602,10,262,5,93,Buyer,0,12
1603,11,262,5,108,Seller,1,0
1604,11,262,5,93,Buyer,1,0
1605,12,262,5,108,Seller,1,0
1606,12,262,5,93,Buyer,1,0
1607,1,263,6,63,Seller,0,55
1608,1,263,6,138,Buyer,0,607
1609,2,263,6,68,Seller,0,20
1610,2,263,6,133,Buyer,0,507
1611,3,263,6,73,Seller,0,1
1612,3,263,6,128,Buyer,1,0
1613,4,263,6,78,Seller,1,0
1614,4,263,6,123,Buyer,1,0
