player_id,player_iid,game_id,game_iid,rprice,side,iddle,total_payoff
1393,1,253,1,63,Seller,0,199
1394,1,253,1,138,Buyer,1,0
1395,2,253,1,68,Seller,0,242
1396,2,253,1,133,Buyer,0,298
1397,3,253,1,73,Seller,0,189
1398,3,253,1,128,Buyer,1,0
1399,4,253,1,78,Seller,0,154
1400,4,253,1,123,Buyer,0,252
1401,5,253,1,83,Seller,0,94
1402,5,253,1,118,Buyer,0,238
1403,6,253,1,88,Seller,1,0
1404,6,253,1,113,Buyer,0,154
1405,7,253,1,93,Seller,0,28
1406,7,253,1,108,Buyer,0,153
1407,8,253,1,98,Seller,0,18
1408,8,253,1,103,Buyer,1,0
1409,9,253,1,103,Seller,1,0
1410,9,253,1,98,Buyer,0,50
1411,10,253,1,108,Seller,1,0
1412,10,253,1,93,Buyer,0,16
1413,1,254,2,63,Seller,0,390
1414,1,254,2,138,Buyer,1,0
1415,2,254,2,68,Seller,0,373
1416,2,254,2,133,Buyer,0,180
1417,3,254,2,73,Seller,1,0
1418,3,254,2,128,Buyer,0,197
1419,4,254,2,78,Seller,1,0
1420,4,254,2,123,Buyer,0,121
1421,5,254,2,83,Seller,0,221
1422,5,254,2,118,Buyer,0,113
1423,6,254,2,88,Seller,1,0
1424,6,254,2,113,Buyer,1,0
1425,7,254,2,93,Seller,1,0
1426,7,254,2,108,Buyer,0,36
1427,8,254,2,98,Seller,1,0
1428,8,254,2,103,Buyer,0,6
1429,9,254,2,103,Seller,0,56
1430,9,254,2,98,Buyer,0,0
1431,10,254,2,108,Seller,0,27
1432,10,254,2,93,Buyer,0,0
1433,1,255,3,63,Seller,0,104
1434,1,255,3,138,Buyer,0,257
1435,2,255,3,68,Seller,0,344
1436,2,255,3,133,Buyer,0,213
1437,3,255,3,73,Seller,0,318
1438,3,255,3,128,Buyer,0,190
1439,4,255,3,78,Seller,1,0
1440,4,255,3,123,Buyer,0,101
1441,5,255,3,83,Seller,1,0
1442,5,255,3,118,Buyer,1,0
1443,6,255,3,88,Seller,1,0
1444,6,255,3,113,Buyer,1,0
1445,7,255,3,93,Seller,1,0
1446,7,255,3,108,Buyer,1,0
1447,8,255,3,98,Seller,0,80
1448,8,255,3,103,Buyer,0,0
1449,9,255,3,103,Seller,0,8
1450,9,255,3,98,Buyer,0,0
1451,10,255,3,108,Seller,1,0
1452,10,255,3,93,Buyer,1,0
1453,1,256,4,63,Seller,0,368
1454,1,256,4,138,Buyer,1,0
1455,2,256,4,68,Seller,0,401
1456,2,256,4,133,Buyer,0,271
1457,3,256,4,73,Seller,1,0
1458,3,256,4,128,Buyer,0,236
1459,4,256,4,78,Seller,0,152
1460,4,256,4,123,Buyer,0,122
1461,5,256,4,83,Seller,0,180
1462,5,256,4,118,Buyer,0,108
1463,6,256,4,88,Seller,0,12
1464,6,256,4,113,Buyer,0,84
1465,7,256,4,93,Seller,1,0
1466,7,256,4,108,Buyer,0,6
1467,8,256,4,98,Seller,1,0
1468,8,256,4,103,Buyer,0,31
1469,9,256,4,103,Seller,0,16
1470,9,256,4,98,Buyer,0,10
1471,10,256,4,108,Seller,0,36
1472,10,256,4,93,Buyer,0,7
1473,1,257,5,63,Seller,0,304
1474,1,257,5,138,Buyer,1,0
1475,2,257,5,68,Seller,0,26
1476,2,257,5,133,Buyer,0,281
1477,3,257,5,73,Seller,0,7
1478,3,257,5,128,Buyer,0,350
1479,4,257,5,78,Seller,1,0
1480,4,257,5,123,Buyer,0,270
1481,5,257,5,83,Seller,0,124
1482,5,257,5,118,Buyer,0,181
1483,6,257,5,88,Seller,0,41
1484,6,257,5,113,Buyer,0,181
1485,7,257,5,93,Seller,0,24
1486,7,257,5,108,Buyer,1,0
1487,8,257,5,98,Seller,0,9
1488,8,257,5,103,Buyer,1,0
1489,9,257,5,103,Seller,0,2
1490,9,257,5,98,Buyer,1,0
1491,10,257,5,108,Seller,1,0
1492,10,257,5,93,Buyer,1,0
